model,target,RMSE,MAE,R2
SIR,active_infected,4010.6995357426867,2797.2893286582157,0.9400212676693274
SIR,removed,3857.37260729727,2361.0807882856457,0.9830208882250505
SIR,confirmed,2583.122768131172,2104.1405326292947,0.9856604766871494
