target,model,feature,importance
deaths,GradientBoosting,lag_11,0.0
deaths,GradientBoosting,lag_12,0.0
deaths,GradientBoosting,lag_13,0.0
deaths,GradientBoosting,lag_14,0.0
deaths,GradientBoosting,lag_21,0.0
deaths,GradientBoosting,lag_28,0.0
deaths,GradientBoosting,rolling_mean_3,0.0
deaths,GradientBoosting,rolling_mean_7,0.0
deaths,GradientBoosting,rolling_mean_14,0.0
deaths,GradientBoosting,rolling_mean_28,0.0
deaths,GradientBoosting,rolling_median_3,0.0
deaths,GradientBoosting,rolling_median_7,0.0
deaths,GradientBoosting,rolling_median_14,0.0
deaths,GradientBoosting,rolling_median_28,0.0
deaths,GradientBoosting,rolling_std_3,0.0
deaths,GradientBoosting,rolling_std_7,0.0
deaths,GradientBoosting,rolling_std_14,0.0
deaths,GradientBoosting,rolling_std_28,0.0
deaths,GradientBoosting,rolling_max_3,0.0
deaths,GradientBoosting,rolling_max_7,0.0
deaths,GradientBoosting,rolling_max_14,0.0
deaths,GradientBoosting,rolling_max_28,0.0
deaths,GradientBoosting,ewm_7,0.0
deaths,GradientBoosting,ewm_14,0.0
deaths,GradientBoosting,diff_1,0.0
deaths,GradientBoosting,diff_7,0.0
deaths,GradientBoosting,ratio_to_mean_7,0.0
deaths,RandomForest,day_index,0.09660043657379727
deaths,RandomForest,lag_2,0.08309838582201891
deaths,RandomForest,rolling_std_28,0.07970223422246481
deaths,RandomForest,rolling_median_3,0.07945584012739809
deaths,RandomForest,lag_10,0.06356319811424598
deaths,RandomForest,lag_1,0.04906176388959416
deaths,RandomForest,rolling_std_3,0.04798660340999358
deaths,RandomForest,rolling_mean_28,0.045654257197323335
deaths,RandomForest,lag_5,0.042415552776321655
deaths,RandomForest,lag_6,0.03282917935344796
deaths,RandomForest,lag_4,0.031498062905227706
deaths,RandomForest,ewm_14,0.030827534390014788
deaths,RandomForest,rolling_mean_3,0.026629558021095314
deaths,RandomForest,rolling_max_3,0.026603920041438252
deaths,RandomForest,diff_7,0.024256814036458314
deaths,RandomForest,rolling_mean_7,0.022074193426340066
deaths,RandomForest,lag_11,0.020454781324632697
deaths,RandomForest,lag_28,0.019461384797699533
deaths,RandomForest,rolling_median_7,0.01840371883598307
deaths,RandomForest,lag_3,0.017780959055515137
deaths,RandomForest,ewm_7,0.017382855039234826
deaths,RandomForest,diff_1,0.017083003871426163
deaths,RandomForest,rolling_mean_14,0.016916500102386597
deaths,RandomForest,rolling_std_14,0.012690174693306895
deaths,RandomForest,lag_9,0.011068949988167692
deaths,RandomForest,ratio_to_mean_7,0.009555937457260582
deaths,RandomForest,lag_7,0.009275923896668932
deaths,RandomForest,rolling_std_7,0.00883541328788162
deaths,RandomForest,lag_12,0.007111118682448841
deaths,RandomForest,rolling_max_28,0.005690282786531381
deaths,RandomForest,week_of_year,0.0044791557192983
deaths,RandomForest,rolling_max_7,0.0036841192303875224
deaths,RandomForest,rolling_max_14,0.0036119368449415187
deaths,RandomForest,lag_8,0.003220267731110537
deaths,RandomForest,lag_21,0.003077783003737119
deaths,RandomForest,rolling_median_28,0.00224791660392808
deaths,RandomForest,rolling_median_14,0.0014831126315420406
deaths,RandomForest,month,0.0013298702978635486
deaths,RandomForest,lag_14,0.001148826016229944
deaths,RandomForest,lag_13,0.000923451656162059
deaths,RandomForest,dow_sin,0.00046919070178646827
deaths,RandomForest,day_of_week,0.00018821283085010838
deaths,RandomForest,dow_cos,0.00015671836547137972
deaths,RandomForest,is_weekend,1.0900240367393687e-05
recovered,GradientBoosting,rolling_mean_3,0.14146542314969746
recovered,GradientBoosting,rolling_median_3,0.059412021475679665
recovered,GradientBoosting,lag_1,0.05429107999033566
recovered,GradientBoosting,day_index,0.0422854474099918
recovered,GradientBoosting,lag_6,0.03934848537193265
recovered,GradientBoosting,rolling_max_3,0.03922314871243692
recovered,GradientBoosting,lag_2,0.03913126463664823
recovered,GradientBoosting,rolling_max_7,0.03733104520942712
recovered,GradientBoosting,rolling_mean_7,0.0342982677742267
recovered,GradientBoosting,rolling_median_14,0.03230696174624194
recovered,GradientBoosting,lag_9,0.03148613380691226
recovered,GradientBoosting,rolling_mean_14,0.030905231499149796
recovered,GradientBoosting,ratio_to_mean_7,0.02431802919531659
recovered,GradientBoosting,lag_10,0.020745838750155333
recovered,GradientBoosting,lag_12,0.020248038714847243
recovered,GradientBoosting,rolling_std_14,0.02016694584661216
recovered,GradientBoosting,lag_4,0.019515479684684305
recovered,GradientBoosting,lag_14,0.018866508011790475
recovered,GradientBoosting,lag_8,0.018388645032879215
recovered,GradientBoosting,lag_11,0.01794102016905528
recovered,GradientBoosting,rolling_std_28,0.017416694102872214
recovered,GradientBoosting,rolling_std_7,0.016577235860615484
recovered,GradientBoosting,diff_7,0.0161959839307436
recovered,GradientBoosting,lag_21,0.015284689291795363
recovered,GradientBoosting,lag_28,0.015205229707948438
