date,day,susceptible,infected,removed,beta_raw,gamma_raw,beta,gamma,reproduction_number
2020-01-22,0.0,83969.80000000002,502.0,45.0,0.18326693227091634,0.00597609561752988,0.18326693227091634,0.00597609561752988,30.666666666666668
2020-01-23,1.0,83877.80000000002,591.0,48.0,0.4686971235194585,0.023688663282571912,0.4686971235194585,0.023688663282571912,19.785714285714285
2020-01-24,2.0,83600.80000000002,854.0,62.0,0.5655737704918032,0.02224824355971897,0.5655737704918032,0.02224824355971897,25.421052631578945
2020-01-25,3.0,83117.80000000002,1318.0,81.0,0.5030349013657056,0.018209408194233688,0.5030349013657056,0.018209408194233688,27.625
2020-01-26,4.0,82454.80000000002,1957.0,105.0,0.40929994890137966,0.01788451711803781,0.40929994890137966,0.01788451711803781,22.88571428571429
2020-01-27,5.0,81653.80000000002,2723.0,140.0,0.9662137348512669,0.033786265148733015,0.9662137348512669,0.033786265148733015,28.59782608695652
2020-01-28,6.0,79022.80000000002,5262.0,232.0,0.10946408209806158,0.003990877993158495,0.10946408209806158,0.003990877993158495,27.428571428571427
2020-01-29,7.0,78446.80000000002,5817.0,253.0,0.3531029740416022,0.009111225717723912,0.3531029740416022,0.009111225717723912,38.75471698113208
2020-01-30,8.0,76392.80000000002,7818.0,306.0,0.21220260936300844,0.015477104118700435,0.21220260936300844,0.015477104118700435,13.710743801652892
2020-01-31,9.0,74733.80000000002,9356.0,427.0,0.2231722958529286,0.011436511329628047,0.2231722958529286,0.011436511329628047,19.514018691588785
2020-02-01,10.0,72645.80000000002,11337.0,534.0,0.4177471994354768,0.025579959424891947,0.4177471994354768,0.025579959424891947,16.33103448275862
2020-02-02,11.0,67909.80000000002,15783.0,824.0,0.19552683266806056,0.013622251789900525,0.19552683266806056,0.013622251789900525,14.353488372093024
2020-02-03,12.0,64823.80000000002,18654.0,1039.0,0.21373431971695078,0.01576069475715664,0.21373431971695078,0.01576069475715664,13.561224489795919
2020-02-04,13.0,60836.80000000002,22347.0,1333.0,0.1668680359779836,0.015393565131785027,0.1668680359779836,0.015393565131785027,10.840116279069766
2020-02-05,14.0,57107.80000000002,25732.0,1677.0,0.12218249650240945,0.01674957251671071,0.12218249650240945,0.01674957251671071,7.294663573085847
2020-02-06,15.0,53963.80000000002,28445.0,2108.0,0.12381789418175426,0.021339426964317103,0.12381789418175426,0.021339426964317103,5.802306425041186
2020-02-07,16.0,50441.80000000002,31360.0,2715.0,0.08619260204081633,0.02181122448979592,0.08619260204081633,0.02181122448979592,3.9517543859649122
2020-02-08,17.0,47738.80000000002,33379.0,3399.0,0.09023637616465442,0.021660325354264657,0.09023637616465442,0.021660325354264657,4.16597510373444
2020-02-09,18.0,44726.80000000002,35668.0,4122.0,0.07053941908713693,0.022597286082763263,0.07053941908713693,0.022597286082763263,3.1215880893300247
2020-02-10,19.0,42210.80000000002,37378.0,4928.0,0.054069238589544655,0.021884531007544544,0.054069238589544655,0.021884531007544544,2.4706601466992666
2020-02-11,20.0,40189.80000000002,38581.0,5746.0,0.009642051787149115,0.011637852829112776,0.009642051787149115,0.011637852829112776,0.8285077951002228
