model,target,RMSE,MAE,R2
SIR,active_infected,4361.924857340892,3684.0472234925946,0.9190511950050041
SIR,removed,5347.643124886623,4477.544710837465,0.9681772066921672
SIR,confirmed,5009.81779753773,4206.720772860753,0.9514895305827897
