model,target,RMSE,MAE,R2
SEIR,active_infected,4293.549219077869,3603.22631313186,0.921569140562965
SEIR,removed,5480.23522188667,4612.536030355087,0.9665795830778027
SEIR,confirmed,5137.082661599984,4252.729761018663,0.9489935940802962
