date,day,susceptible,infected,removed,beta_raw,gamma_raw,beta,gamma,reproduction_number
2020-01-22,0.0,89624.8000000409,503.0,45.0,0.18886679920477137,0.005964214711729622,0.18886679920477137,0.005964214711729622,31.666666666666668
2020-01-23,1.0,89529.8000000409,595.0,48.0,0.46554621848739497,0.023529411764705882,0.46554621848739497,0.023529411764705882,19.785714285714285
2020-01-24,2.0,89252.8000000409,858.0,62.0,0.5664335664335665,0.022144522144522144,0.5664335664335665,0.022144522144522144,25.578947368421055
2020-01-25,3.0,88766.8000000409,1325.0,81.0,0.5049056603773585,0.018113207547169812,0.5049056603773585,0.018113207547169812,27.875
2020-01-26,4.0,88097.8000000409,1970.0,105.0,0.4071065989847716,0.017766497461928935,0.4071065989847716,0.017766497461928935,22.914285714285715
2020-01-27,5.0,87295.8000000409,2737.0,140.0,0.9616368286445013,0.03361344537815126,0.9616368286445013,0.03361344537815126,28.608695652173914
2020-01-28,6.0,84663.8000000409,5277.0,232.0,0.10953193102141368,0.003979533826037522,0.10953193102141368,0.003979533826037522,27.52380952380952
2020-01-29,7.0,84085.8000000409,5834.0,253.0,0.35207404868015085,0.00908467603702434,0.35207404868015085,0.00908467603702434,38.75471698113208
2020-01-30,8.0,82031.8000000409,7835.0,306.0,0.21199744735162732,0.015443522654754308,0.21199744735162732,0.015443522654754308,13.727272727272728
2020-01-31,9.0,80370.8000000409,9375.0,427.0,0.22282666666666667,0.011413333333333333,0.22282666666666667,0.011413333333333333,19.52336448598131
2020-02-01,10.0,78281.8000000409,11357.0,534.0,0.4172756890023774,0.02553491238883508,0.4172756890023774,0.02553491238883508,16.341379310344827
2020-02-02,11.0,73542.8000000409,15806.0,824.0,0.19524231304567885,0.013602429457168164,0.19524231304567885,0.013602429457168164,14.353488372093024
2020-02-03,12.0,70456.8000000409,18677.0,1039.0,0.21368528136210313,0.015794827863147187,0.21368528136210313,0.015794827863147187,13.528813559322034
2020-02-04,13.0,66465.8000000409,22373.0,1334.0,0.16685290305278686,0.015375676038081616,0.16685290305278686,0.015375676038081616,10.851744186046513
2020-02-05,14.0,62732.800000040894,25762.0,1678.0,0.1221566648552131,0.01676888440338483,0.1221566648552131,0.01676888440338483,7.284722222222222
2020-02-06,15.0,59585.800000040894,28477.0,2110.0,0.12371387435474242,0.02131544755416652,0.12371387435474242,0.02131544755416652,5.803953871499176
2020-02-07,16.0,56062.800000040894,31393.0,2717.0,0.08613385149555633,0.02178829675405345,0.08613385149555633,0.02178829675405345,3.953216374269006
2020-02-08,17.0,53358.800000040894,33413.0,3401.0,0.0902343399275731,0.02163828450004489,0.0902343399275731,0.02163828450004489,4.170124481327801
2020-02-09,18.0,50343.800000040894,35705.0,4124.0,0.07071838678056294,0.02257386920599356,0.07071838678056294,0.02257386920599356,3.1327543424317614
2020-02-10,19.0,47818.800000040894,37424.0,4930.0,0.0542967079948696,0.02185763146643865,0.0542967079948696,0.02185763146643865,2.4841075794621026
2020-02-11,20.0,45786.800000040894,38638.0,5748.0,0.009653708784098556,0.011672446814017289,0.009653708784098556,0.011672446814017289,0.8270509977827051
2020-02-12,21.0,45413.800000040894,38560.0,6199.0,0.3925311203319502,0.03596991701244813,0.3925311203319502,0.03596991701244813,10.912761355443404
2020-02-13,22.0,30277.800000040894,52309.0,7586.0,0.12355426408457436,0.036552027375786195,0.12355426408457436,0.036552027375786195,3.3802301255230125
2020-02-14,23.0,23814.800000040894,56860.0,9498.0,0.03614139992965178,0.025729862820963772,0.03614139992965178,0.025729862820963772,1.404647983595352
2020-02-15,24.0,21759.800000040894,57452.0,10961.0,0.03655225231497598,0.027153101719696444,0.03655225231497598,0.027153101719696444,1.3461538461538463
2020-02-16,25.0,19659.800000040894,57992.0,12521.0,0.033125258656366396,0.03112498275624224,0.033125258656366396,0.03112498275624224,1.0642659279778393
2020-02-17,26.0,17738.800000040894,58108.0,14326.0,0.03058098712741791,0.03240517656777036,0.03058098712741791,0.03240517656777036,0.9437068507700477
2020-02-18,27.0,15961.800000040894,58002.0,16209.0,0.007034240198613841,0.03222302679217958,0.007034240198613841,0.03222302679217958,0.21829855537720708
2020-02-19,28.0,15553.800000040894,56541.0,18078.0,0.008100316584425461,0.03844997435489291,0.008100316584425461,0.03844997435489291,0.2106715731370745
2020-02-20,29.0,15095.800000040894,54825.0,20252.0,0.008627450980392156,0.012585499316005472,0.008627450980392156,0.012585499316005472,0.6855072463768116
2020-02-21,30.0,14622.800000040894,54608.0,20942.0,0.026571198359214766,0.07691180779372986,0.026571198359214766,0.07691180779372986,0.34547619047619044
2020-02-22,31.0,13171.800000040894,51859.0,25142.0,0.0004049441755529416,0.009448697429568638,0.0004049441755529416,0.009448697429568638,0.04285714285714286
2020-02-23,32.0,13150.800000040894,51390.0,25632.0,0.004261529480443666,0.03848997859505741,0.004261529480443666,0.03848997859505741,0.1107178968655207
2020-02-24,33.0,12931.800000040894,49631.0,27610.0,0.010336281759384256,0.055026092563115796,0.010336281759384256,0.055026092563115796,0.1878432808495057
2020-02-25,34.0,12418.800000040894,47413.0,30341.0,0.008689599898761943,0.051884504249889274,0.008689599898761943,0.051884504249889274,0.16747967479674794
2020-02-26,35.0,12006.800000040894,45365.0,32801.0,0.00956684668797531,0.06337484845144936,0.00956684668797531,0.06337484845144936,0.1509565217391304
2020-02-27,36.0,11572.800000040894,42924.0,35676.0,0.007641412729475352,0.0802115366694623,0.007641412729475352,0.0802115366694623,0.09526575660760965
2020-02-28,37.0,11244.800000040894,39809.0,39119.0,0.010751337637217714,0.07631440126604537,0.010751337637217714,0.07631440126604537,0.140882159315339
2020-02-29,38.0,10816.800000040894,37199.0,42157.0,0.015484287212021828,0.07734078873087986,0.015484287212021828,0.07734078873087986,0.20020855057351408
2020-03-01,39.0,10240.800000040894,34898.0,45034.0,0.005845607198120236,0.07834259842970943,0.005845607198120236,0.07834259842970943,0.07461594732991954
2020-03-02,40.0,10036.800000040894,32368.0,47768.0,0.003861838853188334,0.08122219476025705,0.003861838853188334,0.08122219476025705,0.04754659566375047
